# Number: 5
# Timestamp: 2014-10-07 10:05:00
# Operator: n.burkhardt
# Comments:
# Sample: 14-JS-5
# Apparatus: 1
# ----------------------------------------------------------------------
# energy/eV     absorption/cm^-1
0.80000 28.95641
0.82000 20.77911
0.84000 14.11781
0.86000 30.10144
0.88000 27.72892
0.90000 28.41589
0.92000 29.15682
0.94000 9.49242
0.96000 20.27597
0.98000 21.15221
1.00000 2.19911
1.02000 24.66685
1.04000 2.40863
1.06000 29.61548
1.08000 9.62840
1.10000 3.61623
1.12000 27.07393
1.14000 8.05809
1.16000 31.55469
1.18000 11.56134
1.20000 30.55256
1.22000 15.64802
1.24000 22.14634
1.26000 26.36819
1.28000 17.13300
1.30000 32.66714
1.32000 26.71660
1.34000 38.43021
1.36000 41.87885
1.38000 52.81498
1.40000 80.78369
1.42000 72.05484
1.44000 87.20869
1.46000 103.16447
1.48000 134.44770
1.50000 165.59527
1.52000 201.24440
1.54000 239.86480
1.56000 283.92941
1.58000 357.38029
1.60000 425.40005
1.62000 488.61871
1.64000 614.79126
1.66000 716.70929
1.68000 855.27596
1.70000 1020.05748
1.72000 1227.84194
1.74000 1459.64648
1.76000 1738.90486
1.78000 2034.46681
1.80000 2364.74628
1.82000 2748.23660
1.84000 3163.63031
1.86000 3612.44051
1.88000 4097.76274
1.90000 4575.84891
1.92000 5082.10108
1.94000 5562.69190
1.96000 6045.64919
1.98000 6512.49106
2.00000 6963.70329
2.02000 7383.62775
2.04000 7741.88818
2.06000 8063.60633
2.08000 8380.05943
2.10000 8637.95677
2.12000 8860.23289
2.14000 9032.53646
2.16000 9197.87737
2.18000 9332.99290
2.20000 9460.87887
2.22000 9559.52804
2.24000 9644.26336
2.26000 9696.95430
2.28000 9758.32319
2.30000 9814.60775
2.32000 9837.19208
2.34000 9877.12497
2.36000 9884.70504
2.38000 9925.69807
2.40000 9946.92531
2.42000 9960.04403
2.44000 9954.66926
2.46000 9963.08711
2.48000 9978.68766
