# Number: 6
# Timestamp: 2014-10-07 10:06:00
# Operator: n.burkhardt
# Comments:
# Sample: 14-JS-6
# Apparatus: 1
# ----------------------------------------------------------------------
# energy/eV     absorption/cm^-1
0.80000 13.48750
0.82000 16.69622
0.84000 31.75707
0.86000 37.73720
0.88000 23.57676
0.90000 19.87375
0.92000 36.22310
0.94000 28.49036
0.96000 34.92166
0.98000 39.37546
1.00000 10.95529
1.02000 29.84586
1.04000 21.86425
1.06000 28.83894
1.08000 35.10928
1.10000 26.38848
1.12000 22.77817
1.14000 37.38491
1.16000 36.25971
1.18000 26.87229
1.20000 22.33473
1.22000 38.37230
1.24000 49.09602
1.26000 49.78061
1.28000 35.96545
1.30000 53.18085
1.32000 69.70540
1.34000 75.79751
1.36000 70.43940
1.38000 80.24488
1.40000 95.25262
1.42000 108.74747
1.44000 144.20286
1.46000 143.85218
1.48000 178.57934
1.50000 216.11780
1.52000 246.93271
1.54000 323.83682
1.56000 383.54698
1.58000 451.61047
1.60000 533.47178
1.62000 640.16980
1.64000 779.06982
1.66000 924.26904
1.68000 1087.28559
1.70000 1299.91981
1.72000 1536.45997
1.74000 1815.68579
1.76000 2143.79145
1.78000 2490.79810
1.80000 2872.99739
1.82000 3293.55736
1.84000 3763.31931
1.86000 4233.03716
1.88000 4727.39293
1.90000 5227.12240
1.92000 5706.59524
1.94000 6216.15055
1.96000 6659.81209
1.98000 7093.99488
2.00000 7478.13315
2.02000 7834.68159
2.04000 8173.80170
2.06000 8455.03045
2.08000 8708.43619
2.10000 8916.96839
2.12000 9106.25881
2.14000 9252.65522
2.16000 9372.14026
2.18000 9477.95165
2.20000 9570.40394
2.22000 9662.96049
2.24000 9715.34234
2.26000 9792.00842
2.28000 9819.96849
2.30000 9854.87540
2.32000 9873.68947
2.34000 9901.66778
2.36000 9920.89859
2.38000 9954.60381
2.40000 9952.41706
2.42000 9958.77107
2.44000 9982.03519
2.46000 9983.98247
2.48000 10009.94393
