# Number: 1
# Timestamp: 2014-10-07 10:01:00
# Operator: n.burkhardt
# Comments:
# Sample: 14-JS-1
# Apparatus: 1
# ----------------------------------------------------------------------
# energy/eV     absorption/cm^-1
0.80000 22.90853
0.82000 26.53864
0.84000 29.21522
0.86000 42.13479
0.88000 37.78830
0.90000 38.10656
0.92000 43.54069
0.94000 35.59410
0.96000 16.35315
0.98000 17.05085
1.00000 41.97690
1.02000 21.95530
1.04000 40.36058
1.06000 40.04061
1.08000 16.86899
1.10000 43.95078
1.12000 47.62792
1.14000 38.27479
1.16000 25.70062
1.18000 47.47196
1.20000 46.91594
1.22000 35.22986
1.24000 41.94762
1.26000 42.53775
1.28000 37.20102
1.30000 62.48003
1.32000 55.98993
1.34000 77.94696
1.36000 74.87875
1.38000 92.58860
1.40000 92.40086
1.42000 115.53830
1.44000 131.77630
1.46000 134.64031
1.48000 170.69606
1.50000 217.05934
1.52000 243.33210
1.54000 290.01646
1.56000 341.38702
1.58000 416.84035
1.60000 498.49567
1.62000 598.60391
1.64000 693.73978
1.66000 838.53301
1.68000 997.24274
1.70000 1176.20287
1.72000 1411.31083
1.74000 1672.12394
1.76000 1946.76401
1.78000 2284.96874
1.80000 2671.44532
1.82000 3078.61949
1.84000 3490.87387
1.86000 3976.06382
1.88000 4446.67679
1.90000 4945.51337
1.92000 5445.73630
1.94000 5937.99822
1.96000 6418.54913
1.98000 6858.68816
2.00000 7274.10158
2.02000 7656.34726
2.04000 8014.03841
2.06000 8303.27375
2.08000 8585.22108
2.10000 8791.27461
2.12000 9018.83529
2.14000 9183.01196
2.16000 9309.46107
2.18000 9449.63571
2.20000 9543.43783
2.22000 9638.39373
2.24000 9689.94820
2.26000 9761.94596
2.28000 9803.29402
2.30000 9850.72365
2.32000 9884.22946
2.34000 9908.12660
2.36000 9918.14867
2.38000 9947.56888
2.40000 9962.71272
2.42000 9984.28220
2.44000 9970.62773
2.46000 9984.48944
2.48000 9984.81979
