# Number: 4
# Timestamp: 2014-10-07 10:04:00
# Operator: n.burkhardt
# Comments:
# Sample: 14-JS-4
# Apparatus: 1
# ----------------------------------------------------------------------
# energy/eV     absorption/cm^-1
0.80000 6.34309
0.82000 3.56353
0.84000 22.62266
0.86000 25.02495
0.88000 13.84469
0.90000 1.99742
0.92000 20.70535
0.94000 18.56161
0.96000 5.02031
0.98000 1.72790
1.00000 19.49684
1.02000 4.82028
1.04000 1.59923
1.06000 17.17408
1.08000 18.25388
1.10000 31.90601
1.12000 3.52747
1.14000 15.86357
1.16000 20.07296
1.18000 19.91895
1.20000 14.36428
1.22000 22.17429
1.24000 23.91599
1.26000 29.86161
1.28000 30.01812
1.30000 33.52212
1.32000 52.56127
1.34000 33.03253
1.36000 53.29633
1.38000 54.57697
1.40000 71.94571
1.42000 82.36474
1.44000 95.40674
1.46000 104.68012
1.48000 141.90063
1.50000 157.15183
1.52000 184.95544
1.54000 238.60164
1.56000 284.24685
1.58000 339.76699
1.60000 397.03558
1.62000 494.02269
1.64000 607.96595
1.66000 724.70452
1.68000 848.69050
1.70000 1031.53150
1.72000 1209.93134
1.74000 1451.75715
1.76000 1724.70564
1.78000 2020.58710
1.80000 2348.54651
1.82000 2738.41505
1.84000 3133.95762
1.86000 3592.12063
1.88000 4047.12520
1.90000 4554.05223
1.92000 5054.60909
1.94000 5526.75792
1.96000 6037.29516
1.98000 6496.72233
2.00000 6945.64071
2.02000 7349.52227
2.04000 7724.17388
2.06000 8059.30908
2.08000 8337.81930
2.10000 8604.97985
2.12000 8830.07188
2.14000 9036.27451
2.16000 9177.63065
2.18000 9334.50941
2.20000 9448.72045
2.22000 9538.67780
2.24000 9618.77445
2.26000 9687.24030
2.28000 9740.70850
2.30000 9799.62042
2.32000 9837.26836
2.34000 9878.74172
2.36000 9889.25189
2.38000 9923.14789
2.40000 9939.84633
2.42000 9944.08570
2.44000 9975.01801
2.46000 9961.50509
2.48000 9974.21646
