# Number: 2
# Timestamp: 2014-10-07 10:02:00
# Operator: n.burkhardt
# Comments:
# Sample: 14-JS-2
# Apparatus: 1
# ----------------------------------------------------------------------
# energy/eV     absorption/cm^-1
0.80000 26.94622
0.82000 4.34383
0.84000 27.22807
0.86000 28.98830
0.88000 27.08557
0.90000 8.64076
0.92000 28.79834
0.94000 23.28405
0.96000 1.77046
0.98000 4.74108
1.00000 8.97758
1.02000 9.04274
1.04000 24.41213
1.06000 17.21025
1.08000 13.05062
1.10000 7.63139
1.12000 15.06852
1.14000 25.92526
1.16000 22.19806
1.18000 9.89292
1.20000 6.68742
1.22000 25.14818
1.24000 13.86452
1.26000 24.09022
1.28000 23.17876
1.30000 30.62334
1.32000 24.57796
1.34000 20.99422
1.36000 42.07368
1.38000 37.39232
1.40000 60.44764
1.42000 65.31480
1.44000 52.62451
1.46000 85.65051
1.48000 96.87254
1.50000 94.98187
1.52000 130.84999
1.54000 145.93517
1.56000 165.04834
1.58000 210.78610
1.60000 265.10699
1.62000 311.71772
1.64000 359.11086
1.66000 455.52428
1.68000 542.77411
1.70000 632.51664
1.72000 764.67503
1.74000 907.72345
1.76000 1086.65714
1.78000 1302.04924
1.80000 1555.51144
1.82000 1834.81249
1.84000 2134.86540
1.86000 2486.63108
1.88000 2892.18502
1.90000 3313.08743
1.92000 3765.73576
1.94000 4248.19874
1.96000 4751.91183
1.98000 5250.66035
2.00000 5747.43920
2.02000 6223.81245
2.04000 6670.60868
2.06000 7117.72309
2.08000 7486.17971
2.10000 7846.36412
2.12000 8162.18994
2.14000 8455.23005
2.16000 8714.63306
2.18000 8914.80190
2.20000 9103.18710
2.22000 9256.00524
2.24000 9375.15855
2.26000 9480.55675
2.28000 9592.65174
2.30000 9655.46211
2.32000 9711.22528
2.34000 9773.39328
2.36000 9829.25197
2.38000 9851.84036
2.40000 9887.27720
2.42000 9894.68222
2.44000 9919.66106
2.46000 9944.35063
2.48000 9946.20367
