# Timestamp: 2014-10-08 10:04:00
# Operator: h.griffin
# Comments:
# Sample: 14-JS-3
# Layout: inm standard
# Irradiation: AM1.5
# Temperature: 23.5
# Positions: 3 6 7 10 17 20 25 26 27 29 30 32 33 34 35
# Areas: 1.0 1.0 0.5 0.1 1.0 0.5 1.0 0.5 1.0 1.0 1.0 1.0 0.5 1.0 1.0
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
-0.10000 -0.01161 -0.01404 -0.00416 -0.00077 -0.00518 -0.00366 -0.00838 -0.00556 -0.00298 -0.00791 -0.02038 -0.00812 -0.00777 -0.01294 -0.00977
-0.09000 -0.01095 -0.01541 -0.00485 -0.00074 -0.00580 -0.00354 -0.00879 -0.00628 -0.00381 -0.00954 -0.02060 -0.00923 -0.00767 -0.01071 -0.01035
-0.08000 -0.01453 -0.01343 -0.00492 -0.00077 -0.00615 -0.00356 -0.01011 -0.00599 -0.00326 -0.00879 -0.01773 -0.00904 -0.00718 -0.01308 -0.01224
-0.07000 -0.01142 -0.01496 -0.00446 -0.00095 -0.00661 -0.00369 -0.00939 -0.00603 -0.00305 -0.00897 -0.01918 -0.00900 -0.00850 -0.01134 -0.00940
-0.06000 -0.01320 -0.01595 -0.00459 -0.00084 -0.00553 -0.00340 -0.01016 -0.00529 -0.00387 -0.00931 -0.01767 -0.00820 -0.00776 -0.01155 -0.01116
-0.05000 -0.01197 -0.01479 -0.00434 -0.00095 -0.00652 -0.00370 -0.00926 -0.00616 -0.00375 -0.00822 -0.01979 -0.00835 -0.00715 -0.01370 -0.01031
-0.04000 -0.01149 -0.01338 -0.00408 -0.00098 -0.00600 -0.00364 -0.01015 -0.00668 -0.00365 -0.00996 -0.02049 -0.00848 -0.00829 -0.01260 -0.01045
-0.03000 -0.01416 -0.01565 -0.00488 -0.00095 -0.00594 -0.00438 -0.00850 -0.00602 -0.00321 -0.00939 -0.01713 -0.00737 -0.00853 -0.01282 -0.01076
-0.02000 -0.01384 -0.01491 -0.00391 -0.00095 -0.00627 -0.00449 -0.00903 -0.00587 -0.00343 -0.00988 -0.01897 -0.00954 -0.00870 -0.01274 -0.01191
-0.01000 -0.01311 -0.01402 -0.00462 -0.00083 -0.00565 -0.00421 -0.00968 -0.00614 -0.00377 -0.00982 -0.01800 -0.00916 -0.00758 -0.01317 -0.01024
-0.00000 -0.01121 -0.01350 -0.00401 -0.00088 -0.00687 -0.00333 -0.01056 -0.00655 -0.00328 -0.00919 -0.01597 -0.00746 -0.00717 -0.01212 -0.01059
0.01000 -0.01341 -0.01320 -0.00435 -0.00088 -0.00544 -0.00355 -0.00980 -0.00558 -0.00398 -0.00964 -0.01811 -0.00822 -0.00859 -0.01329 -0.01106
0.02000 -0.01150 -0.01521 -0.00493 -0.00089 -0.00547 -0.00376 -0.01008 -0.00604 -0.00322 -0.00836 -0.01906 -0.00883 -0.00757 -0.01081 -0.01254
0.03000 -0.01360 -0.01625 -0.00438 -0.00091 -0.00657 -0.00376 -0.00830 -0.00589 -0.00297 -0.00746 -0.01987 -0.00815 -0.00802 -0.01210 -0.01092
0.04000 -0.01272 -0.01579 -0.00438 -0.00086 -0.00579 -0.00344 -0.01021 -0.00673 -0.00359 -0.00864 -0.01618 -0.00702 -0.00692 -0.01177 -0.01024
0.05000 -0.01418 -0.01314 -0.00389 -0.00076 -0.00665 -0.00375 -0.01043 -0.00658 -0.00316 -0.00971 -0.01716 -0.00891 -0.00868 -0.01165 -0.01173
0.06000 -0.01293 -0.01342 -0.00497 -0.00090 -0.00546 -0.00388 -0.01033 -0.00641 -0.00365 -0.00867 -0.01608 -0.00706 -0.00667 -0.01277 -0.01159
0.07000 -0.01364 -0.01517 -0.00378 -0.00077 -0.00628 -0.00416 -0.00847 -0.00616 -0.00331 -0.01003 -0.01671 -0.00914 -0.00756 -0.01224 -0.01097
0.08000 -0.01390 -0.01330 -0.00494 -0.00074 -0.00526 -0.00359 -0.00793 -0.00676 -0.00355 -0.00959 -0.01915 -0.00884 -0.00692 -0.01289 -0.01189
0.09000 -0.01090 -0.01379 -0.00438 -0.00083 -0.00673 -0.00445 -0.00943 -0.00656 -0.00303 -0.00745 -0.01601 -0.00855 -0.00890 -0.01049 -0.00998
0.10000 -0.01248 -0.01629 -0.00372 -0.00077 -0.00599 -0.00391 -0.01004 -0.00681 -0.00353 -0.00752 -0.01569 -0.00900 -0.00897 -0.01107 -0.01056
0.11000 -0.01353 -0.01418 -0.00472 -0.00075 -0.00585 -0.00372 -0.00986 -0.00517 -0.00326 -0.00937 -0.02074 -0.00809 -0.00675 -0.01267 -0.01145
0.12000 -0.01393 -0.01477 -0.00428 -0.00087 -0.00613 -0.00409 -0.00971 -0.00535 -0.00341 -0.00994 -0.01989 -0.00806 -0.00750 -0.01107 -0.01134
0.13000 -0.01385 -0.01616 -0.00375 -0.00083 -0.00615 -0.00335 -0.00908 -0.00670 -0.00362 -0.00962 -0.01569 -0.00820 -0.00830 -0.01337 -0.01117
0.14000 -0.01299 -0.01409 -0.00381 -0.00080 -0.00678 -0.00426 -0.01014 -0.00681 -0.00315 -0.00819 -0.01997 -0.00709 -0.00667 -0.01218 -0.01078
0.15000 -0.01077 -0.01321 -0.00412 -0.00084 -0.00579 -0.00382 -0.00967 -0.00542 -0.00314 -0.00883 -0.01623 -0.00901 -0.00779 -0.01373 -0.01113
0.16000 -0.01408 -0.01610 -0.00485 -0.00091 -0.00685 -0.00414 -0.00773 -0.00511 -0.00312 -0.00893 -0.01864 -0.00710 -0.00716 -0.01029 -0.00953
0.17000 -0.01097 -0.01339 -0.00454 -0.00099 -0.00622 -0.00339 -0.00856 -0.00562 -0.00323 -0.00828 -0.01963 -0.00732 -0.00672 -0.01116 -0.01250
0.18000 -0.01201 -0.01526 -0.00385 -0.00086 -0.00632 -0.00373 -0.00994 -0.00632 -0.00321 -0.01005 -0.01767 -0.00838 -0.00844 -0.01281 -0.01163
0.19000 -0.01319 -0.01257 -0.00394 -0.00095 -0.00573 -0.00360 -0.00812 -0.00554 -0.00308 -0.00932 -0.01664 -0.00826 -0.00786 -0.01085 -0.01151
0.20000 -0.01170 -0.01313 -0.00447 -0.00080 -0.00570 -0.00371 -0.00816 -0.00659 -0.00379 -0.00865 -0.01768 -0.00845 -0.00711 -0.01110 -0.01196
0.21000 -0.01259 -0.01569 -0.00377 -0.00076 -0.00506 -0.00435 -0.00850 -0.00607 -0.00320 -0.00863 -0.01599 -0.00809 -0.00877 -0.01066 -0.01227
0.22000 -0.01295 -0.01238 -0.00480 -0.00086 -0.00629 -0.00378 -0.00859 -0.00525 -0.00324 -0.00847 -0.01568 -0.00881 -0.00730 -0.01028 -0.01160
0.23000 -0.01300 -0.01448 -0.00469 -0.00085 -0.00650 -0.00444 -0.00759 -0.00683 -0.00303 -0.00872 -0.02064 -0.00895 -0.00672 -0.01209 -0.01168
